track_id,track_name,track_artist,track_artist_id,track_popularity,track_album_id,track_album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0sqE6XPi9VAaWl5NxDyMQK,All Over You,Live,6eoJpTIlcuxJNjV5fDzDJH,61,4ZsG3ifn9sIcrFT1ecw0gF,Throwing Copper,1994-01-01,0.322,0.835,1,-5.902,1,0.0572,0.00463,1.06e-06,0.294,0.352,132.097,239546
7GNLvWRG9itrCk0zarYKmQ,December,Collective Soul,4e5V1Q2dKCzbLVMQ8qbTn6,62,6zGQoUd5QQ65xMx5OycFgE,Collective Soul,1995-03-14,0.683,0.645,0,-5.707,1,0.0272,0.589,0.00432,0.18,0.366,121.995,285000
3qCQNtggJw1gxoptMgDhyR,Snot,Snot,6TnlohrPbZ8D0JvJp9S1t8,55,73HoiOlintxrZhZHV9zSda,Get Some,1997-01-01,0.584,0.976,1,-3.868,1,0.156,0.00432,0.0408,0.333,0.535,140.304,201933
0wRjyHj9mnG7pQH8LOy6MD,スウィート・ソウル・レヴュー,ピチカート・ファイヴ,0IQalWuw5NBk1xXG5GK0Bv,22,6XXYHc8PtLy885hQNeA4gC,THE BAND OF 20TH CENTURY: Nippon Columbia Years 1991-2001,2019-11-06,0.803,0.904,4,-3.846,1,0.0372,0.093,0.000261,0.131,0.851,125.019,256613
3LpnzPxkMI6XS4JCbhNeek,I Alone,Live,6eoJpTIlcuxJNjV5fDzDJH,61,4ZsG3ifn9sIcrFT1ecw0gF,Throwing Copper,1994-01-01,0.395,0.817,6,-7.282,1,0.0451,0.00228,0.00416,0.372,0.0991,90.231,231133
2CLSHTGF4jYXx2RCz1h0dS,"April 29, 1992 (Miami)",Sublime,0EdvGhlC1FkGItLOWQzG4J,54,14eK347GdWO4mBBx78tsut,Sublime,1996-07-30,0.746,0.665,2,-6.106,1,0.0963,0.00532,0.000804,0.155,0.751,79.022,233266
1Ah8sXLBBC51HXyAd1Dwjq,万事快調,ピチカート・ファイヴ,0IQalWuw5NBk1xXG5GK0Bv,18,6XXYHc8PtLy885hQNeA4gC,THE BAND OF 20TH CENTURY: Nippon Columbia Years 1991-2001,2019-11-06,0.69,0.987,3,-3.53,0,0.0415,0.0368,0.0929,0.13,0.958,131.967,274973
5l2DXYLyBVZWhdpgqa3a9k,Everything Zen - Remastered,Bush,78SHxLdtysAXgywQ4vE0Oa,57,2EVR73AnIDeYLxVDJIqObQ,Sixteen Stone (Remastered),1994-12-06,0.48,0.848,0,-4.44,1,0.0455,0.000316,0.00523,0.152,0.354,134.227,278133
0HDaKOlVAfUWXdFR2RhBtN,Down,311,41Q0HrwWBtuUkJc7C1Rp6K,56,6VIeIM5tetuv7FrYxISffU,311,1995-07-11,0.441,0.922,6,-6.644,0,0.0655,0.000179,1.97e-06,0.381,0.565,175.411,172160
7aM4eHqMMXpQxyGK9b5zCs,アイスクリーム・メルティン・メロウ,ピチカート・ファイヴ,0IQalWuw5NBk1xXG5GK0Bv,14,6XXYHc8PtLy885hQNeA4gC,THE BAND OF 20TH CENTURY: Nippon Columbia Years 1991-2001,2019-11-06,0.77,0.836,7,-4.991,1,0.0728,0.00517,0.102,0.0986,0.594,91.989,378891
