track_id,track_name,track_artist,track_artist_id,track_popularity,track_album_id,track_album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3P5IxgmbTBhBV6qE867LmD,It Ain't Like That,Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,54,5LbHbwejgZXRZAgzVAjkhj,Facelift,1990-08-01,0.445,0.842,8,-7.9,0,0.0417,0.00905,3.57e-05,0.295,0.676,102.859,277693
56SkdBKyR2zOkjk6wVFI9s,Possum Kingdom,Toadies,2QMMktUMtwMSwUZATX1cRO,60,7tFTqVGHceSlXOaz8IylBN,Rubberneck,1994-01-01,0.643,0.726,9,-9.314,1,0.0255,0.000772,0.00969,0.07,0.925,100.687,308333
6fcbQ12I6qvyw6WJ8bjRxJ,Drinking Is Our Way of Life,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,6,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.3,0.916,2,-6.717,1,0.111,0.215,0.904,0.907,0.37,87.48,149629
4rTkmZ4soSkcfqj4rAD2jv,Out There - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,9,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.18,0.921,5,-8.124,0,0.135,0.000498,0.331,0.216,0.252,138.895,354240
6hTBP6QLwJdxbKyLlLXrGo,Let's Talk About Sex,Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,57,4iCiqnufcdAdTyKrkKGwqR,Blacks' Magic,1990-01-01,0.863,0.543,6,-13.497,1,0.13,0.0507,0,0.241,0.799,106.929,213266
2QSUyofqpGDCo026OPiTBQ,1999 - 2019 Remaster,Prince,5a2EaR3hamoenG9rDuVn8j,54,34MHuXONazzgSxI0cThpAg,1999,1982-10-27,0.864,0.826,10,-5.496,1,0.0814,0.23,2.36e-06,0.0663,0.596,118.955,373747
6gHW0h0GSlQqRjot8QKBJR,No Life,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,6,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.249,0.956,10,-7.679,0,0.0486,0.00215,0.702,0.37,0.56,89.579,140062
4dYE0RSVIaRj3b7tZtqbHf,Pebbles + Weeds - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,10,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.147,0.994,8,-5.332,1,0.146,0.00631,0.282,0.0774,0.0751,157.986,323826
22EurJbYRV6UNrhCQdcZNl,Transparent Waves - Original Mix 2000,Analog Trip,5KVi0koi8xi0zTd69azBnY,0,2PIGl8WoQz1HZWFMLB2NAC,Anniversary 20 Years of Analog Trip [1996-2016] Best Of,2016-12-26,0.801,0.567,11,-9.421,1,0.0743,0.222,0.593,0.0621,0.864,158.44,472809
2umDSCqEya8Pbt5OZqANal,きみみたいにきれいな女の子,ピチカート・ファイヴ,0IQalWuw5NBk1xXG5GK0Bv,31,6XXYHc8PtLy885hQNeA4gC,THE BAND OF 20TH CENTURY: Nippon Columbia Years 1991-2001,2019-11-06,0.696,0.81,10,-5.358,0,0.0364,0.375,0.0137,0.263,0.818,105.012,268066
7cecVBulTjnD5mtY4pbqcm,Jesus Drives a Sebring,Men Who Sneeze,7ApDTGqIPKt98XSkk32Ard,0,2MRwdxlxrcpgwa6msMQlus,Ditch Kids,2022-02-11,0.641,0.532,8,-13.036,1,0.0359,0.0833,0.0534,0.0634,0.637,100.352,169409
552YVQeFAqVFNIEK6bLTRQ,It Was a Very Good Year (As Made Famous By Robbie Williams),The Karaoke Crew,0GRelLAVHzwasg0Ja7gJUy,0,2wNSoXvAWV1Ehk4MN6iamG,Drew's Famous # 1 Karaoke Hits: Sing Like Robbie Williams 1996-2000,2010-09-21,0.232,0.109,7,-15.031,0,0.0315,0.728,0.367,0.147,0.0746,147.765,292013
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,Blur,7MhMgCo0Bl0Kukl93PZbYS,78,7HvIrSkKGJCzd8AKyjTJ6Q,Blur (Special Edition),1997-02-10,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,121160
