feature,before,after,transformer
danceability,-0.5094652014460624,0.06813230607872908,square
energy,-0.6180375908156933,0.021180219154146408,square
loudness,-1.2072990586827623,0.25990529534544554,<lambda>
speechiness,1.9574117282372547,1.7065334687536433,log1p
acousticness,1.5208538188400127,1.2320136770024068,log1p
instrumentalness,2.7506466731345323,2.6023596611752025,log1p
liveness,2.097531234991369,1.686184771152358,log1p
duration_ms,1.1680918459075356,0.7295894968571507,log1p
year,-1.8927690763699485,1.1397930703581591,<lambda>
